Результаты замеров:
Команд: 100, Время: 72.48 мс
Команд: 500, Время: 161.84 мс
Команд: 1000, Время: 264.69 мс
Команд: 2000, Время: 457.23 мс
Команд: 3000, Время: 658.76 мс
Команд: 4000, Время: 845.01 мс
Команд: 5000, Время: 1044.51 мс
Команд: 6000, Время: 1216.33 мс
Команд: 7000, Время: 1443.11 мс
Команд: 8000, Время: 1631.63 мс
Команд: 9000, Время: 1827.78 мс
Команд: 10000, Время: 2036.14 мс

Вывод: Наблюдается линейная зависимость времени выполнения от числа команд.
Причина — последовательный алгоритм планировщика, обрабатывающий ровно одну команду за каждый вызов Execute (один тик).
